Customer_ID,Age,Gender,Annual_Income,Spending_Score,Region,Marital_Status,Num_of_Children,Employment_Status,Credit_Score,Online_Shopping_Frequency,Target
CUST_1,25.00,Female,"£66,041.00",15.00,South,Widowed,1.00,Unemployed,332.00,12.00,0
CUST_2,66.00,Male,"£46,937.00",39.00,South,Single,0.00,Retired,550.00,4.00,0
CUST_3,18.00,Male,"£142,885.00",65.00,South,Single,2.00,Retired,503.00,7.00,0
CUST_4,19.00,Female,"£146,383.00",91.00,South,Divorced,0.00,Unemployed,759.00,9.00,0
CUST_5,57.00,Male,"£47,686.00",47.00,West,Widowed,4.00,Retired,598.00,0.00,0
CUST_6,67.00,Male,"£27,691.00",47.00,West,Widowed,2.00,Unemployed,556.00,6.00,0
CUST_7,32.00,Male,"£68,049.00",53.00,South,Widowed,3.00,Employed,410.00,7.00,1
CUST_8,58.00,Female,"£57,465.00",74.00,North,Single,2.00,Student,554.00,3.00,1
CUST_9,68.00,Female,"£128,034.00",25.00,East,Widowed,1.00,Student,613.00,18.00,0
CUST_10,59.00,Female,"£64,822.00",59.00,North,Single,3.00,Unemployed,455.00,9.00,0
CUST_11,49.00,Male,"£57,192.00",85.00,East,Divorced,4.00,Retired,418.00,4.00,0
CUST_12,30.00,Female,"£121,634.00",58.00,South,Single,1.00,Retired,329.00,9.00,1
CUST_13,42.00,Male,"£67,566.00",54.00,North,Divorced,4.00,Employed,403.00,13.00,0
CUST_14,59.00,Male,"£54,441.00",26.00,East,Single,0.00,Unemployed,365.00,14.00,1
CUST_15,55.00,Male,"£135,223.00",50.00,West,Single,0.00,Student,351.00,3.00,1
CUST_16,28.00,Male,"£33,665.00",3.00,North,Divorced,3.00,Unemployed,361.00,6.00,0
CUST_17,50.00,Male,"£77,401.00",92.00,North,Single,3.00,Employed,308.00,16.00,0
CUST_18,50.00,Male,"£37,790.00",50.00,West,Single,4.00,Unemployed,429.00,6.00,1
CUST_19,37.00,Female,"£89,025.00",63.00,East,Widowed,2.00,Employed,570.00,1.00,0
CUST_20,24.00,Female,"£102,058.00",77.00,West,Single,2.00,Retired,539.00,9.00,0
CUST_21,26.00,Female,"£131,717.00",72.00,East,Married,1.00,Retired,420.00,2.00,0
CUST_22,23.00,Male,"£50,442.00",67.00,West,Single,1.00,Employed,823.00,13.00,0
CUST_23,49.00,Male,"£68,539.00",7.00,South,Married,1.00,Student,841.00,19.00,0
CUST_24,60.00,Male,"£70,375.00",19.00,West,Widowed,0.00,Student,748.00,18.00,0
CUST_25,59.00,Male,"£40,867.00",22.00,North,Widowed,2.00,Employed,327.00,10.00,1
CUST_26,25.00,Male,"£77,339.00",42.00,North,Widowed,3.00,Student,625.00,9.00,1
CUST_27,58.00,Male,"£55,872.00",65.00,South,Widowed,0.00,Student,340.00,11.00,0
CUST_28,49.00,Female,"£45,451.00",78.00,East,Married,4.00,Student,601.00,17.00,0
CUST_29,54.00,Female,"£107,258.00",26.00,East,Married,0.00,Employed,722.00,18.00,0
CUST_30,37.00,Female,"£145,121.00",2.00,East,Single,2.00,Employed,823.00,9.00,0
CUST_31,61.00,Male,"£147,835.00",29.00,West,Married,2.00,Student,514.00,10.00,0
CUST_32,67.00,Female,"£72,622.00",71.00,West,Single,0.00,Retired,319.00,12.00,0
CUST_33,42.00,Male,"£35,740.00",79.00,North,Married,4.00,Student,762.00,13.00,0
CUST_34,32.00,Male,"£75,839.00",26.00,South,Married,3.00,Retired,816.00,6.00,0
CUST_35,63.00,Male,"£76,684.00",82.00,North,Single,4.00,Employed,603.00,12.00,1
CUST_36,65.00,Male,"£76,032.00",27.00,East,Married,0.00,Unemployed,407.00,8.00,0
CUST_37,68.00,Female,"£39,937.00",93.00,North,Married,1.00,Student,546.00,17.00,1
CUST_38,43.00,Female,"£56,911.00",65.00,West,Married,1.00,Retired,352.00,3.00,0
CUST_39,43.00,Female,"£129,820.00",78.00,West,Single,1.00,Retired,633.00,9.00,1
CUST_40,51.00,Female,"£126,960.00",76.00,East,Divorced,4.00,Student,307.00,12.00,1
CUST_41,62.00,Male,"£37,550.00",23.00,North,Divorced,1.00,Unemployed,566.00,18.00,1
CUST_42,31.00,Male,"£89,200.00",88.00,South,Married,4.00,Student,843.00,11.00,0
CUST_43,51.00,Female,"£143,968.00",77.00,West,Divorced,1.00,Employed,417.00,1.00,0
CUST_44,54.00,Male,"£75,211.00",6.00,West,Married,1.00,Student,568.00,0.00,0
CUST_45,32.00,Male,"£26,024.00",60.00,South,Widowed,1.00,Unemployed,461.00,14.00,1
CUST_46,21.00,Female,"£75,115.00",92.00,West,Single,2.00,Employed,633.00,5.00,0
CUST_47,65.00,Male,"£141,527.00",14.00,East,Single,4.00,Employed,526.00,19.00,0
CUST_48,60.00,Female,"£100,495.00",60.00,East,Widowed,1.00,Employed,472.00,13.00,0
CUST_49,22.00,Male,"£86,517.00",16.00,East,Single,2.00,Retired,402.00,3.00,1
CUST_50,21.00,Male,"£66,235.00",10.00,North,Widowed,4.00,Retired,691.00,9.00,0
CUST_51,34.00,Female,"£102,701.00",18.00,East,Single,2.00,Employed,485.00,13.00,1
CUST_52,28.00,Female,"£144,057.00",44.00,North,Married,4.00,Unemployed,749.00,2.00,0
CUST_53,44.00,Female,"£62,960.00",1.00,East,Single,2.00,Student,370.00,14.00,0
CUST_54,50.00,Female,"£102,836.00",64.00,West,Divorced,3.00,Unemployed,500.00,18.00,0
CUST_55,19.00,Female,"£34,372.00",19.00,East,Married,1.00,Unemployed,334.00,1.00,0
CUST_56,57.00,Female,"£63,465.00",3.00,South,Single,4.00,Retired,692.00,7.00,0
CUST_57,40.00,Female,"£136,357.00",86.00,East,Divorced,4.00,Retired,475.00,11.00,0
CUST_58,26.00,Female,"£37,749.00",41.00,West,Married,1.00,Retired,826.00,0.00,0
CUST_59,52.00,Female,"£36,276.00",43.00,East,Single,4.00,Employed,314.00,18.00,0
CUST_60,43.00,Female,"£104,150.00",98.00,North,Single,4.00,Employed,691.00,14.00,0
CUST_61,35.00,Male,"£67,405.00",39.00,North,Single,1.00,Student,543.00,12.00,0
CUST_62,26.00,Male,"£119,701.00",4.00,East,Married,2.00,Employed,369.00,0.00,0
CUST_63,31.00,Male,"£116,731.00",84.00,South,Widowed,0.00,Student,457.00,15.00,1
CUST_64,43.00,Female,"£140,140.00",35.00,South,Single,0.00,Retired,593.00,9.00,1
CUST_65,57.00,Male,"£23,825.00",77.00,East,Divorced,3.00,Unemployed,696.00,13.00,1
CUST_66,23.00,Female,"£42,552.00",91.00,North,Divorced,0.00,Unemployed,465.00,14.00,0
CUST_67,21.00,Male,"£99,948.00",81.00,West,Single,3.00,Student,469.00,18.00,0
CUST_68,49.00,Female,"£29,400.00",48.00,North,Single,3.00,Student,814.00,19.00,0
CUST_69,58.00,Male,"£108,879.00",61.00,South,Single,2.00,Retired,623.00,18.00,1
CUST_70,64.00,Female,"£78,852.00",85.00,West,Married,1.00,Unemployed,679.00,2.00,0
CUST_71,33.00,Female,"£122,460.00",5.00,South,Widowed,3.00,Student,776.00,7.00,1
CUST_72,56.00,Female,"£20,179.00",49.00,North,Single,0.00,Student,638.00,5.00,0
CUST_73,60.00,Female,"£40,852.00",34.00,East,Divorced,4.00,Employed,330.00,14.00,0
CUST_74,28.00,Female,"£32,646.00",71.00,East,Married,4.00,Employed,330.00,18.00,0
CUST_75,37.00,Male,"£36,211.00",38.00,West,Widowed,3.00,Student,422.00,4.00,1
CUST_76,45.00,Male,"£53,604.00",53.00,West,Single,2.00,Unemployed,571.00,4.00,0
CUST_77,48.00,Male,"£78,454.00",28.00,West,Married,0.00,Unemployed,719.00,5.00,1
CUST_78,31.00,Male,"£59,444.00",34.00,South,Single,0.00,Student,473.00,9.00,1
CUST_79,67.00,Male,"£147,436.00",87.00,South,Married,0.00,Student,458.00,13.00,0
CUST_80,25.00,Female,"£146,092.00",51.00,South,Widowed,3.00,Retired,730.00,10.00,0
CUST_81,28.00,Female,"£55,292.00",4.00,North,Single,3.00,Retired,791.00,6.00,0
CUST_82,39.00,Male,"£41,921.00",93.00,South,Single,4.00,Retired,548.00,0.00,0
CUST_83,54.00,Male,"£68,389.00",65.00,North,Divorced,0.00,Student,740.00,2.00,1
CUST_84,68.00,Female,"£116,500.00",92.00,South,Married,3.00,Unemployed,797.00,14.00,0
CUST_85,25.00,Male,"£135,949.00",16.00,North,Divorced,2.00,Retired,511.00,11.00,0
